Code CATMINAT;Syntaxon
01/A6.;Zosteretea marinae Pignatti 1953
01/A6.;Halodulo wrightii - Cymodoceetea nodosae Knapp 1965
01/A6.;Halodulo wrightii - Thalassietea testudinum Den Hartog 1976
01/A6.;Halodulo wrightii - Thalassietea testudinum Den Hartog 1976 ex Rivas-Martínez, Fernández-González & Loidi 1999
01/A6.;Posidonietea oceanicae den Hartog 1976
01/A6.0.1;Zosteretalia marinae Béguinot 1941 em. Tüxen & Oberdorfer 1958
01/A6.0.1;Zosteretalia marinae Béguinot 1941
01/A6.0.1;Posidonietalia oceanicae den Hartog 1976
01/A6.0.1;Thalassietalia testudini den Hartog 1976
01/A6.0.1;Thalassio testudini - Syringodietalia filiformis Borhidi, Muñiz & Del Risco 1983 
01/A6.0.1;Thalassio testudini - Syringodietalia filiformis Borhidi, Muñiz & Del Risco in Borhidi 1996
01/A6.0.1.0.1;Zosterion marinae Christiansen 1934
01/A6.0.1.0.1/01;Zosteretum marinae (Börgesen 1905) Harmsen 1936
01/A6.0.1.0.1/01;Zosteretum marinae Börgesen 1905 ex van Goor 1921
01/A6.0.1.0.1/02;Zosteretum noltii Harmsen 1936
01/A6.0.1.0.1/02;Giraudio sphacelarioidis - Zosteretum noltii Boudouresque, Belscher & Marcot-Coqueugniot 1977
01/A6.0.1.0.2;Posidonion oceanicae Braun-Blanquet 1931
01/A6.0.1.0.2;Posidonion oceanicae Braun-Blanquet, Roussine & Nègre 1952
01/A6.0.1.0.2;Cymodoceion nodosae den Hartog 1976
01/A6.0.1.0.2;Syringodio filiformis - Thalassion testudinum Borhidi 1996
01/A6.0.1.0.2/01;Posidonietum oceanicae Funk 1927
01/A6.0.1.0.2/01;Posidonietum oceanicae  Braun-Blanquet 1931
01/A6.0.1.0.2/02;Cymodoceetum nodosae Feldmann 1938
01/A6.0.1.0.2/02;Cymodoceo nodosae - Zosteretum marinae (Feldmann 1938) Braun-Blanquet, Roussine & Nègre 1952
02/1.;Cakiletea maritimae Tüxen & Preising in Tüxen 1950
02/1.;Cakiletea maritimae Tüxen & Preising in Tüxen 1950 ex Braun-Blanquet & Tüxen 1952
02/1.;Cakilo maritimae - Salicornietea europaeae Pignatti 1953
02/1.0.1;Atriplicetalia littoralis Sissingh in Westhoff, Dijk, Passchier & Sissingh 1946
02/1.0.1;Cakiletalia maritimae subsp. integrifoliae Tüxen ex Oberdorfer 1949 corr. Rivas-Martínez, Costa & Loidi 1992
02/1.0.1;Cakiletalia maritimae Tüxen & Oberdorfer 1946
02/1.0.1;Cakiletalia maritimae Tüxen 1950
02/1.0.1;Cakiletalia maritimae Tüxen in Braun-Blanquet & Tüxen 1952
02/1.0.1;Cakiletalia maritimae subsp. integrifoliae Tüxen & Oberdorfer 1946 ex Oberdorfer 1950 corr. Rivas-Martínez, Costa & Loidi 1992
02/1.0.1;Cakilion maritimae Pignatti 1953 ex Passarge 1978
02/1.0.1;Euphorbietalia peplidis Tüxen 1950
02/1.0.1.0.1;Atriplicion littoralis (Nordhagen 1940) Tüxen 1950
02/1.0.1.0.1;Atriplicion littoralis Nordhagen 1940
02/1.0.1.0.1;Salsolo kali - Honckenyion peploidis Tüxen 1950
02/1.0.1.0.1;Salsolo kali - Honckenyion peploidis Tüxen 1950 ex Braun-Blanquet & Tüxen 1952
02/1.0.1.0.1/01;Atriplicetum littoralis Tüxen 1937
02/1.0.1.0.1/01;Atriplicetum littoralis Libbert 1940
02/1.0.1.0.1/01;Beto vulgaris subsp. maritimae - Atriplicetum littoralis Géhu 1976
02/1.0.1.0.1/01;Matricario maritimae - Atriplicetum littoralis (Christiansen 1934) Tüxen 1950 
02/1.0.1.0.1/01;Atriplici prostratae - Betetum vulgaris subsp. maritimae (Arènes 1933) Géhu 1976
02/1.0.1.0.1/01;Atriplici prostratae - Betetum vulgaris subsp. maritimae Géhu 1968
02/1.0.1.0.1/01;Atriplici prostratae - Betetum vulgaris subsp. maritimae J.-M. & J. Géhu 1969
02/1.0.1.0.1/01;Atriplicetum littoralis Chistiansen 1934
02/1.0.1.0.1/02;Junco ranarii - Chenopodietum chenopodioidis Géhu & Franck 1982
02/1.0.1.0.1/03;Atriplici prostratae - Chenopodietum chenopodioidis Bouzillé, de Foucault & Lahondère 1984
02/1.0.1.0.2;Atriplici laciniatae - Salsolion kali (Tüxen 1950) Géhu 1975
02/1.0.1.0.2;Salsolo kali - Honckenyion peploidis Tüxen 1950
02/1.0.1.0.2/01;Salsolo kali - Atriplicetum laciniatae collectif phytosocio CBNBL 2011 prov.
02/1.0.1.0.2/01;Atriplicetum laciniatae Tüxen 1950
02/1.0.1.0.2/01;Cakiletum maritimae Nordhagen 1940
02/1.0.1.0.2/01;Beto vulgaris subsp. maritimae - Atriplicetum laciniatae Tüxen (1950) 1967
02/1.0.1.0.2/01;Cakilo maritimae - Corispermetum pallasii Géhu 1992
02/1.0.1.0.2/01;Salsolo kali - Cakiletum maritimae subsp. integrifoliae Passarge 1973
02/1.0.1.0.2/02;Polygono raii - Atriplicetum glabriusculae Tüxen 1950
02/1.0.1.0.2/02;Polygono raii - Atriplicetum glabriusculae Tüxen 1950 in Braun-Blanquet & Tüxen 1952
02/1.0.1.0.2/02;Beto vulgaris subsp. maritimae - Atriplicetum glabriusculae (Géhu 1960) Géhu & Franck 1982
02/1.0.1.0.2/02;Beto vulgaris subsp. maritimae - Atriplicetum glabriusculae Géhu 1960
02/1.0.1.0.2/02;Atriplicetum glabriusculae (Tüxen 1950) Julve 2003 ass. nov. hoc loco
02/1.0.1.0.2/02;Polygonetum raii Nordhagen 1940
02/1.0.1.0.3;Euphorbion peplis Tüxen 1950
02/1.0.1.0.3;Cakilion maritimae Pignatti 1953
02/1.0.1.0.3;Glaucio flavi - Cakilion maritimae Tüxen ex O. de Bolòs 1962 
02/1.0.1.0.3;Salsolo - Polygonion maritimi Pignatti 1953
02/1.0.1.0.3/01;Salsolo kali - Cakiletum maritimae subsp. maritimae (Dierschke 1975) Costa & Mansanet 1981
02/1.0.1.0.3/01;Cakilo maritimae - Xanthietum italici Pignatti 1953
02/1.0.1.0.3/02;Euphorbietum peplidis (Tüxen 1950) Julve 2003 ass. nov. hoc loco
02/1.0.1.0.3/02;Honckenyo peploidis - Euphorbietum peplidis Tüxen 1950 ex Géhu 1964
02/1.0.1.0.3/02;Matricario maritimae - Euphorbietum peplidis (Tüxen 1950) Géhu 1964
02/1.0.1.0.4;Suaedion splendentis (Braun-Blanquet 1931) Julve 1992 ex 1993
02/1.0.1.0.4;Suaedetalia splendentis Braun-Blanquet & O. de Bolòs 1958
02/1.0.1.0.4;Suaedion splendentis Braun-Blanquet in Braun-Blanquet, Roussine & Nègre 1952
02/1.0.1.0.4;Salicornion Braun-Blanquet 1933
02/1.0.1.0.4;Suaedion Braun-Blanquet 1931
02/1.0.1.0.4;Crypsidion aculeatae Pignatti 1953
02/1.0.1.0.4;Suaedetea splendentis Rivas-Martínez 1972
02/1.0.1.0.4;Suaedetea splendentis Vicherek 1973
02/1.0.1.0.4;Suaedetea splendentis Vicherek 1973 em. Borhidi 2003
02/1.0.1.0.4/01;Suaedo splendentis - Salsoletum sodae Braun-Blanquet 1931
02/1.0.1.0.4/01;Salsoletum sodae Pignatti 1953
02/1.0.1.0.4/01;Salsolo sodae - Chenopodietum chenopodioidis Martínez-Parras & Peinado 1993
02/1.0.1.0.4/01;Suaedo splendentis - Salsoletum sodae Braun-Blanquet 1933
02/1.0.1.0.4/02;Suaedo maritimae - Bassietum hirsutae Braun-Blanquet 1928
02/1.0.1.0.4/02;Suaedo maritimae - Bassietum hirsutae Braun-Blanquet 1933
02/1.0.1.0.4/03;Suaedo splendentis - Chenopodietum chenopodioidis (René Molinier & Tallon 1970) Géhu & Géhu-Franck 1984
02/1.0.1.0.4/04;Salicornio patulae - Atriplicetum littoralis (Géhu & Biondi 1994) Julve 2003 ass. nov. hoc loco
02/1.0.1.0.4/04;Puccinellio festuciformis - Atriplicetum littoralis Géhu & Biondi 1994
02/1.0.1.0.4/05;Salicornio patulae - Crypsidetum aculeatae Paradis & Lorenzoni 1994
02/1.0.1.0.4/06;Atriplicetum prostrato - tornabenei O. de Bolòs 1962
02/1.0.1.0.4/06;Cakilo maritimae - Atriplicetum tornabenei (O. de Bolòs 1962) Géhu 1984
02/1.0.1.0.4/07;Bassietum hyssopifoliae (Braun-Blanquet & O. de Bolòs 1958) Carretero & Aguilella 1995
02/2.;Saginetea maritimae Westhoff, van Leeuwen & Adriani 1962
02/2.0.1;Saginetalia maritimae Westhoff, van Leeuwen & Adriani 1962
02/2.0.1.0.1;Saginion maritimae Westhoff, van Leeuwen & Adriani 1962
02/2.0.1.0.1;Catapodion marini Paradis, Lorenzoni, Piazza & Quilichini 1999
02/2.0.1.0.1;Cochlearietum danicae Westhoff 1947
02/2.0.1.0.1;Saginetum maritimae Westhoff 1947
02/2.0.1.0.1/01;Sagino maritimae - Catapodietum marini Tüxen in Tüxen & Westhoff 1963
02/2.0.1.0.1/02;Trifolio scabri - Catapodietum marini Géhu & de Foucault 1978
02/2.0.1.0.1/03;Catapodio marini - Parapholidetum incurvae Géhu & de Foucault 1978
02/2.0.1.0.1/04;Parapholido strigosae - Saginetum maritimae Géhu 1976
02/2.0.1.0.1/05;Sagino maritimae - Cochlearietum danicae Tüxen & Gillner in Tüxen, Böckelmann, Rivas-Martínez & Wildpret de la Torre 1957
02/2.0.1.0.1/06;Soncho oleracei - Cochlearietum danicae Géhu & de Foucault 1978
02/2.0.1.0.1/06;Soncho oleracei - Cochlearietum danicae Géhu & de Foucault 1978 ex de Foucault & Bioret 2010
02/2.0.1.0.1/07;Catapodio marini - Brometum hordeacei subsp. ferroni Bioret 1994
02/2.0.1.0.1/08;Sagino maritimae - Stellarietum pallidae Bioret, Lahondère & Botineau 1993
02/2.0.1.0.1/10;Hymenolobo procumbentis - Saginetum maritimae Géhu 1976
