CD_CB;CD_CB_SUP;LEVEL;LB_LEVEL;FRANCE;label
1;;1;Niveau 1;TRUE;Habitats littoraux et halophiles
11;1;2;Niveau 2;TRUE;Mers et océans
11.1;11;3;Niveau 3;TRUE;Eaux marines
11.11;11.1;4;Niveau 4;TRUE;Eaux océaniques
11.12;11.1;4;Niveau 4;TRUE;Eaux du talus et du plateau continental (= eaux néritiques)
11.121;11.12;5;Niveau 5;TRUE;Eaux littorales
11.122;11.12;5;Niveau 5;TRUE;Eaux néritiques lointaines (du large)
11.123;11.12;5;Niveau 5;TRUE;Talus continental
11.124;11.12;5;Niveau 5;TRUE;Upwellings
11.125;11.12;5;Niveau 5;TRUE;Hauts-fonds
11.2;11;3;Niveau 3;TRUE;Benthos (Fonds marins)
11.21;11.2;4;Niveau 4;TRUE;Fonds sous-marins profonds
11.22;11.2;4;Niveau 4;TRUE;Zones benthiques sublittorales sur sédiments meubles
11.23;11.2;4;Niveau 4;TRUE;Zones benthiques sublittorales sur cailloutis
11.24;11.2;4;Niveau 4;TRUE;Zones benthiques sublittorales sur fonds rocheux
11.25;11.2;4;Niveau 4;TRUE;Formations sublittorales de concrétions organogéniques
11.251;11.25;5;Niveau 5;TRUE;Concrétions coralligènes
11.252;11.25;5;Niveau 5;TRUE;Trottoirs d'algues encroûtantes
11.253;11.25;5;Niveau 5;TRUE;Trottoirs de Gastéropodes et Polychètes
11.254;11.25;5;Niveau 5;TRUE;Trottoirs de moules (moulières)
11.26;11.2;4;Niveau 4;TRUE;Grottes sous-marines
11.3;11;3;Niveau 3;TRUE;Herbiers marins à plantes vasculaires
11.31;11.3;4;Niveau 4;TRUE;Herbiers atlantiques à Zostères
11.32;11.3;4;Niveau 4;TRUE;Herbiers atlantiques à Zostères naines
11.321;11.32;5;Niveau 5;TRUE;Herbiers à Zostères naines de l'Atlantique continental
11.322;11.32;5;Niveau 5;FALSE;
11.33;11.3;4;Niveau 4;TRUE;Herbiers méditerranéens à Cymodocea et Zostera
11.331;11.33;5;Niveau 5;TRUE;Herbiers méditerranéens à Cymodocea
11.332;11.33;5;Niveau 5;TRUE;Herbiers méditerranéens à Zostera
11.34;11.3;4;Niveau 4;TRUE;Herbiers de Posidonia
11.35;11.3;4;Niveau 4;FALSE;
11.36;11.3;4;Niveau 4;FALSE;
11.361;11.36;5;Niveau 5;FALSE;
11.362;11.36;5;Niveau 5;FALSE;
11.4;11;3;Niveau 3;TRUE;Herbiers des eaux saumâtres
11.41;11.4;4;Niveau 4;TRUE;Groupements marins à Ruppia maritima
11.42;11.4;4;Niveau 4;FALSE;
12;1;2;Niveau 2;TRUE;Bras de mer
13;1;2;Niveau 2;TRUE;Estuaires et rivières tidales (soumises à marées)
13.1;13;3;Niveau 3;TRUE;Fleuves et rivières soumis à marées
13.11;13.1;4;Niveau 4;TRUE;Eau saumâtre des cours d'eau soumis à marées
13.12;13.1;4;Niveau 4;TRUE;Eau douce des cours d'eau soumis à marées
13.2;13;3;Niveau 3;TRUE;Estuaires
13.3;13;3;Niveau 3;TRUE;Herbiers marins submergés
13.4;13;3;Niveau 3;TRUE;Herbiers saumâtres submergés
14;1;2;Niveau 2;TRUE;Vasières et bancs de sable sans végétations
15;1;2;Niveau 2;TRUE;Marais salés, prés salés (schorres), steppes salées et fourrés sur gypse
15.1;15;3;Niveau 3;TRUE;Gazons pionniers salés
15.11;15.1;4;Niveau 4;TRUE;Gazons à Salicorne et Suaeda
15.111;15.11;5;Niveau 5;TRUE;Gazons atlantiques à Salicorne (Slikkes)
15.1111;15.111;6;Niveau 6;TRUE;Gazons à salicorne des côtes basses
15.1112;15.111;6;Niveau 6;TRUE;Groupements à Suaeda et salicorne
15.112;15.11;5;Niveau 5;TRUE;Gazons continentaux à salicorne
15.1121;15.112;6;Niveau 6;TRUE;Suintements continentaux à salicorne
15.1122;15.112;6;Niveau 6;TRUE;Gazons continentaux secs à salicorne
15.113;15.11;5;Niveau 5;TRUE;Gazons méditerranéens à salicorne
15.1131;15.113;6;Niveau 6;TRUE;Gazons à salicorne des basses côtes méditerranéennes
15.1132;15.113;6;Niveau 6;FALSE;
15.1133;15.113;6;Niveau 6;TRUE;Gazons à salicorne des hautes côtes méditerranéennes
15.114;15.11;5;Niveau 5;FALSE;
15.1141;15.114;6;Niveau 6;FALSE;
15.1142;15.114;6;Niveau 6;FALSE;
15.12;15.1;4;Niveau 4;TRUE;Groupements halonitrophiles à Frankenia
15.13;15.1;4;Niveau 4;TRUE;Groupements à Sagina et Cochlearia
15.2;15;3;Niveau 3;TRUE;Prairies à Spartine
15.21;15.2;4;Niveau 4;TRUE;Prairies à Spartine à feuilles plates
15.22;15.2;4;Niveau 4;FALSE;
15.3;15;3;Niveau 3;TRUE;Prés salés atlantiques
15.31;15.3;4;Niveau 4;TRUE;Prés salés avec Puccinellia maritima
15.32;15.3;4;Niveau 4;TRUE;Groupements à Puccinellia maritima des prés salés
