CD_EUNIS;CD_EUNIS_SUP;LEVEL;LB_LEVEL;France_av;FRANCE;LB_EUNIS_FR;DESCRIPTION_FR;label
A;-;1;Niveau 1;TRUE;TRUE;;;Marine habitats
A1;A;2;Niveau 2;TRUE;TRUE;;;Littoral rock and other hard substrata
A1.1;A1;3;Niveau 3;TRUE;TRUE;;;High energy littoral rock
A1.11;A1.1;4;Niveau 4;TRUE;TRUE;;;Mussel and/or barnacle communities
A1.111;A1.11;5;Niveau 5;TRUE;TRUE;;;[Mytilus edulis] and barnacles on very exposed eulittoral rock
A1.112;A1.11;5;Niveau 5;TRUE;TRUE;;;[Chthamalus] spp. on exposed upper eulittoral rock
A1.1121;A1.112;6;Niveau 6;TRUE;TRUE;;;[Chthamalus montagui] and [Chthamalus stellatus] on exposed upper eulittoral rock
A1.1122;A1.112;6;Niveau 6;TRUE;TRUE;;;[Chthamalus] spp. and [Lichina pygmaea] on steep exposed upper eulittoral rock
A1.113;A1.11;5;Niveau 5;TRUE;TRUE;;;[Semibalanus balanoides] on exposed to moderately exposed or vertical sheltered eulittoral rock
A1.1131;A1.113;6;Niveau 6;TRUE;TRUE;;;[Semibalanus balanoides], [Patella vulgata] and [Littorina] spp. on exposed to moderately exposed or vertical sheltered eulittoral rock
A1.1132;A1.113;6;Niveau 6;TRUE;TRUE;;;[Semibalanus balanoides], [Fucus vesiculosus] and red seaweeds on exposed to moderately exposed eulittoral rock
A1.1133;A1.113;6;Niveau 6;TRUE;TRUE;;;[Semibalanus balanoides] and [Littorina] spp. on exposed to moderately exposed eulittoral boulders and cobbles
A1.12;A1.1;4;Niveau 4;TRUE;TRUE;;;Robust fucoid and/or red seaweed communities
A1.121;A1.12;5;Niveau 5;TRUE;TRUE;;;[Fucus distichus] and [Fucus spiralis] f. [nana] on extremely exposed upper eulittoral rock
A1.122;A1.12;5;Niveau 5;TRUE;TRUE;;;[Corallina officinalis] on exposed to moderately exposed lower eulittoral rock
A1.1221;A1.122;6;Niveau 6;TRUE;TRUE;;;[Corallina officinalis] and [Mastocarpus stellatus] on exposed to moderately exposed lower eulittoral rock
