natura_2000_code;label;title_level_eu_code
1;Habitats côtiers et végétations halophytiques;Grand type de milieu 1
1100;Eaux marines et milieux à marées;Grand type de milieu 2
1110;Bancs de sable à faible couverture permanente d'eau marine;Habitat d'intérêt communautaire
1120;Herbiers de posidonies (Posidonion oceanicae);Habitat d'intérêt communautaire
1130;Estuaires;Habitat d'intérêt communautaire
1140;Replats boueux ou sableux exondés à marée basse;Habitat d'intérêt communautaire
1150;Lagunes côtières;Habitat d'intérêt communautaire
1160;Grandes criques et baies peu profondes;Habitat d'intérêt communautaire
1170;Récifs;Habitat d'intérêt communautaire
1180;Structures sous-marines causées par des émissions de gaz;Habitat d'intérêt communautaire
1200;Falaises maritimes et plages de galets;Grand type de milieu 2
1210;Végétation annuelle des laissés de mer;Habitat d'intérêt communautaire
1220;Végétation vivace des rivages de galets;Habitat d'intérêt communautaire
1230;Falaises avec végétation des côtes atlantiques et baltiques;Habitat d'intérêt communautaire
1240;Falaises avec végétation des côtes méditerranéennes avec Limonium spp. endémiques;Habitat d'intérêt communautaire
1250;Falaises avec flore endémique des côtes macaronésiennes;Habitat d'intérêt communautaire
1300;Marais et prés-salés atlantiques et continentaux;Grand type de milieu 2
1310;Végétations pionnières à Salicornia et autres espèces annuelles des zones boueuses et sableuses;Habitat d'intérêt communautaire
1320;Prés à Spartina (Spartinion maritimae);Habitat d'intérêt communautaire
1330;Prés-salés atlantiques (Glauco-Puccinellietalia maritimae);Habitat d'intérêt communautaire
1340;Prés-salés intérieurs;Habitat d'intérêt communautaire
1400;Marais et prés-salés méditerranéens et thermo-atlantiques;Grand type de milieu 2
1410;Prés-salés méditerranéens (Juncetalia maritimi);Habitat d'intérêt communautaire
1420;Fourrés halophiles méditerranéens et thermo-atlantiques (Sarcocornietea fruticosi);Habitat d'intérêt communautaire
1430;Fourrés halonitrophiles (Pegano-Salsoletea);Habitat d'intérêt communautaire
1500;Steppes intérieures halophiles et gypsophiles;Grand type de milieu 2
1510;Steppes salées méditerranéennes (Limonietalia);Habitat d'intérêt communautaire
1520;Végétation gypseuse ibérique (Gypsophiletalia);Habitat d'intérêt communautaire
1530;Steppes salées et marais salés pannoniques;Habitat d'intérêt communautaire
1600;Archipel, côtes et surfaces émergeantes de la Baltique boréale;Grand type de milieu 2
