Étiquette;Méthode utilisée pour le relevé
Estimation de la fréquence des espèces à partir de quadrats ou subquadrats;1 - Estimation de la fréquence des espèces à partir de quadrats ou subquadrats
Estimation de l'abondance (recouvrement) des espèces à partir de quadrats ou subquadrats;2 - Estimation de l'abondance (recouvrement) des espèces à partir de quadrats ou subquadrats
Indice macrophytique;3 - Indice macrophytique
Méthode des poignées;4 - Méthode des poignées
Nombre d’espèces indicatrices lichéniques;5 - Nombre d’espèces indicatrices lichéniques
Nombre d’individus sur des quadrats ;6 - Nombre d’individus sur des quadrats
Phytosociologie sigmatiste : estimation visuelle  de l'abondance des espèces selon l'approche Braun Blanquet.;7 - Phytosociologie sigmatiste : estimation visuelle  de l'abondance des espèces selon l'approche Braun Blanquet.
Phytosociologie synusiale;8 - Phytosociologie synusiale
Présence / Absence;9 - Présence / Absence
Relevé d'associations lichéniques;10 - Relevé d'associations lichéniques
Relevé effectué selon une méthode précisée dans le champ « Remarques »;11 - Relevé effectué selon une méthode précisée dans le champ « Remarques » 
Relevé forestier effectué dans le cadre des catalogues de typologie forestière;12 - Relevé forestier effectué dans le cadre des catalogues de typologie forestière
