Code PVF1;Syntaxon
1;Adiantetea capilli-veneris Br.-Bl. in Br.-Bl., Roussine & Nègre 1952
1.0.1;Adiantetalia capilli-veneris Br.-Bl. ex Horvati? 1939
1.0.1.0.1;Adiantion capilli-veneris Br.-Bl. ex Horvati? 1939
10;Betulo carpaticae-Alnetea viridis Rejmánek in Huml, Lepš, Prach & Rejmánek 1979
10.0.1;Alnetalia viridis Rübel ex Huml, Lepš, Prach & Rejmánek 1979
10.0.1.0.1;Alnion viridis A. Schnyd. 1930
10.0.1.0.2;Salicion helveticae Rübel ex Theurillat in Theurillat, Aeschimann, P. Küpfer & Spichiger 1995
10.0.1.0.3;Salicion lapponi-glaucosericeae Gams ex Julve 1993
11;Bidentetea tripartitae Tüxen, Lohmeyer & Preising ex von Rochow 1951
11.0.1;Bidentetalia tripartitae Br.-Bl. & Tüxen ex Klika in Klika & Hada? 1944
11.0.1.0.1;Bidention tripartitae Nordhagen 1940
11.0.1.0.2;Chenopodion rubri (Tüxen ex Poli & J. Tüxen 1960) Kopecký 1969
12;Cakiletea maritimae Tüxen & Preising ex Br.-Bl. & Tüxen 1952
12.0.1;Cakiletalia integrifoliae Tüxen ex Oberdorfer 1950 corr. Rivas-Martínez, Costa & Loidi 1992
12.0.1.0.1;Atriplicion littoralis Nordhagen 1940
12.0.1.0.2;Atriplici laciniatae-Salsolion kali Géhu 1975
12.0.2;Euphorbietalia peplis Tüxen 1950 nom. nud.
12.0.2.0.1;Euphorbion peplis Tüxen 1950 nom. nud.
13;Calluno vulgaris-Ulicetea minoris Br.-Bl. & Tüxen ex Klika in Klika & Hada? 1944
13.0.1;Ulicetalia minoris Quantin 1935
13.0.1.0.1;Cisto salviifolii-Ericion cinereae Géhu 2004
13.0.1.0.2;Daboecion cantabricae (Dupont ex Rivas-Martínez 1979) Rivas-Martínez, Fernández González & Loidi 1998
13.0.1.0.3;Dactylido oceanicae-Ulicion maritimi Géhu 1975
13.0.1.0.4;Ulicion minoris Malcuit 1929
13.0.1.0.4.1;Ulici minoris-Ericenion ciliaris (Géhu 1975) Géhu & Botineau 2004
13.0.1.0.4.2;Ulicenion minoris Géhu & Botineau 2004
13.0.1.0.5;Genistion micrantho-anglicae Rivas-Martínez 1979
13.0.2;Vaccinio myrtilli-Genistetalia pilosae Schubert 1960
13.0.2.0.1;Calluno vulgaris-Arctostaphylion uvae-ursi Tüxen & Preising in Preising 1949 nom. nud.
13.0.2.0.2;Genistion tinctorio-germanicae de Foucault 2008
13.0.2.0.3;Genisto pilosae-Vaccinion uliginosi Br.-Bl. 1926
14;Cardaminetea hirsutae Géhu 1999
14.0.1;Geranio purpurei-Cardaminetalia hirsutae Brullo in Brullo & Marcenò 1985
14.0.1.0.1;Drabo muralis-Cardaminion hirsutae de Foucault 1988
14.0.1.0.2;Geranio pusilli-Anthriscion caucalidis Rivas-Martínez 1978
14.0.1.0.3;Valantio muralis-Galion muralis Brullo in Brullo & Marcenò 1985
14.0.1.0.4;Arabidopsion thalianae Passarge 1964
15;Caricetea curvulae Br.-Bl. 1948 nom. cons. propos.
15.0.1;Caricetalia curvulae Br.-Bl. in Br.-Bl. & H. Jenny 1926
15.0.1.0.1;Festucion variae Br.-Bl. 1926
15.0.1.0.2;Festucion eskiae Br.-Bl. 1948
15.0.1.0.3;Caricion curvulae Br.-Bl. in Br.-Bl. & H. Jenny 1926
15.0.1.0.4;Festucion supinae Br.-Bl. 1948
15.0.1.0.5;Nardion strictae Br.-Bl. 1926
15.0.2;Saginetalia piliferae Gamisans 1977
15.0.2.0.1;Caricion caryophyllae Gamisans 1977
15.0.2.0.2;Plantaginion insularis Gamisans ex J.C. Klein 1972
16;Carici caryophyllae-Genistetea lobelii J.C. Klein 1972
16.0.1;Carlinetalia macrocephalae Gamisans 1977
16.0.1.0.1;Anthyllidion hermanniae J.C. Klein 1972
17;Carici rupestris-Kobresietea bellardii Ohba 1974
17.0.1;Oxytropido-Elynetalia myosuroidis Oberdorfer ex Albrecht 1969
17.0.1.0.1;Oxytropido-Elynion myosuroidis Br.-Bl. 1949
18;Charetea fragilis F. Fukarek ex Krausch 1964
18.0.1;Nitelletalia flexilis Krause 1969
18.0.1.0.1;Nitellion flexilis Segal ex Krause 1969
18.0.1.0.2;Nitellion syncarpo-tenuissimae Krause 1969
18.0.2;Charetalia hispidae Sauer ex Krausch 1964
18.0.2.0.1;Charion fragilis Krausch 1964
18.0.2.0.2;Charion vulgaris (Krause ex Krause & Lang 1977) Krause 1981
18.0.2.0.3;Charion canescentis Krausch 1964
19;Cisto ladaniferi-Lavanduletea stoechadis Br.-Bl. in Br.-Bl., Molinier & Wagner 1940
19.0.1;Lavanduletalia stoechadis Br.-Bl. in Br.-Bl., Molinier & Wagner 1940
19.0.1.0.1;Cistion ladaniferi Br.-Bl. in Br.-Bl., Molinier & Wagner 1940
