Code PVF2;Syntaxon
F14-21;Alliario petiolatae – Cynoglossetum germanici Géhu et al. ex T. Müll. in Oberd. 1983
F14-22;Moehringio trinerviae – Geranietum lucidi Romo 1989
F14-20;Moehringio trinerviae – Geranietum robertiani Gillet 1986
F14-19;Moehringio trinerviae – Stellarietum mediae Gallandat et al. 1995
F03-01;Plantagini timbalii – Oenanthetum globulosae Paradis, Lorenzoni-Pietri, Pozzo di Borgo & Sorba ex de Foucault & Paradis in de Foucault & Catteau 2012
F03-02;Ranunculo ophioglossifolii – Artemisietum molinieri de Foucault & Loisel 2012
F03-03;Eleocharito palustris – Preslietum cervinae Braun-Blanq. ex Moor 1937
F03-04;Inulo britannicae – Menthetum cervinae de Foucault & Loisel 2012
F03-05;Loto preslii – Oenanthetum fistulosae (Donker & Stevelink 1962) de Foucault 2012
F03-06;Helosciadio crassipedis – Ranunculetum ophioglossifolii (Paradis et al. 2008) de Foucault & Paradis 2012
F03-07;Ranunculo ophioglossifolii – Oenanthetum fistulosae de Foucault 2008
F03-08;Hydrocotylo vulgaris – Caricetum divisae Vanden Berghen 1965
F03-09;Junco gerardi – Oenanthetum fistulosae de Foucault 2012
F03-10;Gratiolo officinalis – Oenanthetum fistulosae de Foucault in Royer et al. 2006
F03-11;Eleocharito palustris – Oenanthetum fistulosae de Foucault 2008
F03-12;Hydrocotylo vulgaris – Eleocharitetum palustris Julve 1989
F03-13;Oenantho fistulosae – Caricetum vulpinae Trivaudey 1989
F03-14;Oenantho lachenalii – Eleocharitetum uniglumis Didier et al. in Royer et al. 2006
F03-15;Ranunculo repentis – Alopecuretum geniculati Tüxen 1937
F03-16;Cnidio dubii – Violetum pumilae Korneck ex Bal.-Tul. 1969
F03-17;Glycerio fluitantis – Menthetum arvensis de Foucault 1986
F03-18;Teucrio scordii – Menthetum arvensis J. Duvign. 1986
F03-19;Trifolio maritimi – Oenanthetum silaifoliae Dupont ex de Foucault 2008
F03-20;Carici divisae – Lolietum perennis de Foucault 2008
F03-21;Lino biennis – Festucetum arundinaceae Dubuis & Simonneau ex de Foucault 2012
F03-22;Dorycnio gracilis – Festucetum arundinaceae (Molin. & Devaux 1978) de Foucault 2012
F03-23;Junco maritimi – Iridetum spuriae Molin. & Tallon 1969
F03-24;Cerastio dubii – Juncetum gerardi J. Duvign. 1967
F03-25;Agropyro repentis – Juncetum gerardi J. Duvign. 1967
F03-26;Festuco arundinaceae – Caricetum distantis J. Duvign. 1967
F03-27;Agrostio stoloniferae – Caricetum vikingensis Géhu 1982
F03-28;Samolo valerandi – Caricetum vikingensis Géhu 1982
