Auteur;Date;Titre;Editeur;Auteur - Titre
Abdelkrim H.;1986;Les dayates du sud de l'Atlas saharien (Algérie);"Coll. Phytosoc. XIII, ""Végétation et Géomorphologie"", Bailleul 1985: 361-371";Abdelkrim H. - Les dayates du sud de l'Atlas saharien (Algérie) - 1986
Abdelkrim H.;1989;Les formations steppiques à Alfa (Stipa tenacissima L.), autoécologie, syntaxonomie et importance pastorale;"Coll. Phytosoc. XVI, ""Phytosociologie et pastoralisme"", Paris 1988: 445-456";Abdelkrim H. - Les formations steppiques à Alfa (Stipa tenacissima L.), autoécologie, syntaxonomie et importance pastorale - 1989
Abdelkrim H. & Mediouni K.;2000;L'apport de l'école sigmatiste à la connaissance des groupements végétaux de l'Algérie. Historique et perspectives;"Coll. Phytosoc. ""XXVII, Données de la phytosociologie sigmatiste"", Bailleul 1997: 715-725";Abdelkrim H. & Mediouni K. - L'apport de l'école sigmatiste à la connaissance des groupements végétaux de l'Algérie. Historique et perspectives - 2000
Aidoud A. & F.;1989;Les parcours steppiques du bassin versant du Chott ech-Chergui (Algérie): groupements et ressources pastorales;"Coll. Phytosoc. XVI, ""Phytosociologie et pastoralisme"", Paris 1988: 579-586";Aidoud A. & F. - Les parcours steppiques du bassin versant du Chott ech-Chergui (Algérie): groupements et ressources pastorales - 1989
Alard D. & Frileux P.-N.;1989;Les prairies permanentes du Lieuvin et du Pays d'Auge: typologie, caractérisation agronomique, dynamique paysagère;"Coll. Phytosoc. XVI, ""Phytosociologie et pastoralisme"", Paris 1988: 549-568";Alard D. & Frileux P.-N. - Les prairies permanentes du Lieuvin et du Pays d'Auge: typologie, caractérisation agronomique, dynamique paysagère - 1989
Allorge P.;1921;Les associations végétales du Vexin français.;Rev. gén. Bot. 33: 481-544, 589-652, 708-751, 792-807.;Allorge P. - Les associations végétales du Vexin français. - 1921
Allorge P.;1922;Les associations végétales du Vexin français.;Rev. gén. Bot. 34: 71-79, 134-144, 178-191, 251-256, 311-319, 376-383, 425-431, 472-480, 519-528, 564-576, 612-637, 676-685.;Allorge P. - Les associations végétales du Vexin français. - 1922
Allorge P.;1924;Etude sur la Flore et la Végétation de l'Ouest de la France : Remarques sur quelques associations végétales du Massif de Multonne. Concentration en ions H dans la Bruyère à Sphaignes.;Bulletin Mayenne Sciences: 77-88. ;Allorge P. - Etude sur la Flore et la Végétation de l'Ouest de la France : Remarques sur quelques associations végétales du Massif de Multonne. Concentration en ions H dans la Bruyère à Sphaignes. - 1924
Allorge P.;1925;Etude sur la Flore et la Végétation de l'Ouest de la France : Remarques sur quelques associations végétales du Massif de Multonne. Concentration en ions H dans la Bruyère à Sphaignes.;Bulletin Mayenne Sciences: 27-51. ;Allorge P. - Etude sur la Flore et la Végétation de l'Ouest de la France : Remarques sur quelques associations végétales du Massif de Multonne. Concentration en ions H dans la Bruyère à Sphaignes. - 1925
Allorge P.;1941;Essai de synthèse phytogéographique du Pays Basque.;Bull. Soc. Bot. France 88, session extr. tenue dans le Pays-Basque et les Landes: 291-356.;Allorge P. - Essai de synthèse phytogéographique du Pays Basque. - 1941
