NAME_RELEVE;SP_NAME;STRATUM;COVER;CD_NOM
T1801_1;Lemna gibba L.;;1;105427
T1801_1;Ceratophyllum demersum L.;;1;90208
T1801_1;Spirodela polyrrhiza;;5;124707
T1801_1;Lemna minor L.;;+;105431
T1801_2;Ceratophyllum demersum L.;;1;90208
T1801_2;Spirodela polyrrhiza;;5;124707
T1801_3;Lemna minor L.;;+;105431
T1801_3;Hydrocharis morsus Ranae;;1;103120
T1801_3;Spirodela polyrrhiza;;3;124707
T1801_4;Lemna trisulca L.;;+;105441
T1801_4;Lemna minor L.;;4;105431
T1801_4;Spirodela polyrrhiza;;2;124707
T1801_5;Ranunculus circinatus Sibth.;;+;116979
T1801_5;Lemna trisulca L.;;1;105441
T1801_5;Riccia fluitans L.;;+;6216
T1801_5;Lemna minor L.;;1;105431
T1801_5;Callitriche stagnalis Scop.;;+;87484
T1801_5;Ceratophyllum demersum L.;;1;90208
T1801_5;Spirodela polyrrhiza;;5;124707
T1801_5;Hydrocharis morsus Ranae;;1;103120
T1802_1;Lemna minor L.;;3;105431
T1802_1;Lemna trisulca L.;;5;105441
T1802_1;Lemna gibba L.;;3;105427
T1802_1;Azolla filiculoides Lam.;;2;85469
T1802_1;Wolffia arrhiza (L.) Horkel ex Wimmer;;1;130119
T1802_10;Lemna minor L.;;5;105431
T1802_10;Lemna trisulca L.;;5;105441
T1802_10;Phragmites australis (Cav.) Trin. ex Steudel;;+;113260
T1802_10;Elodea canadensis Michx;;2;95980
T1802_10;Utricularia major;;+;620987
T1802_10;Callitriche stagnalis Scop.;;+;87484
T1802_11;Lemna minor L.;;1;105431
T1802_11;Lemna trisulca L.;;5;105441
T1802_11;Potamogeton trichoides Cham. & Schlecht.;;2;115326
T1802_12;Lemna trisulca L.;;3;105441
T1802_12;Lemna minor L.;;3;105431
T1802_13;Lemna minor L.;;4;105431
T1802_13;Lemna trisulca L.;;1;105441
T1802_14;Lemna minor L.;;5;105431
T1802_14;Lemna trisulca L.;;5;105441
T1802_15;Lemna minor L.;;1;105431
T1802_15;Wolffia arrhiza (L.) Horkel ex Wimmer;;5;130119
T1802_15;Lemna trisulca L.;;4;105441
T1802_15;Potamogeton trichoides Cham. & Schlecht.;;1;115326
T1802_16;Lemna minor L.;;3;105431
T1802_16;Riccia fluitans L.;;4;6216
T1802_16;Callitriche hamulata Kuetz. ex Koch;;2;87471
T1802_16;Leptodictyum riparium (Hedw.) W;;2;5444
T1802_16;Hottonia palustris L.;;+;103027
T1802_16;Utricularia major;;2;620987
T1802_16;Rorippa amphibia (L.) Besser;;+;117933
T1802_16;Potamogeton crispus L.;;+;115245
T1802_16;Ricciorpus natans (L.) Cord.;;1;6237
T1802_16;Lemna trisulca L.;;5;105441
T1802_17;Lemna trisulca L.;;2;105441
T1802_17;Riccia fluitans L.;;1;6216
T1802_17;Lemna minor L.;;1;105431
T1802_17;Hottonia palustris L.;;+;103027
T1802_18;Lemna trisulca L.;;5;105441
T1802_18;Lemna minor L.;;+;105431
T1802_18;Riccia fluitans L.;;1;6216
T1802_18;Phalaris arundinacea L.;;2;112975
T1802_18;Hydrocharis morsus Ranae;;1;103120
T1802_19;Lemna minor L.;;2;105431
