REL_CODE;FULLNAME BIS;STRATUM;COVER_CODE;TAXREF9_CDNOM
T1853_1;Rhamnus alaternus;;+;117526
T1853_1;Hypochoeris glabra L.;;+;103364
T1853_1;Calicotome spinosa (L.) Link;;+;87446
T1853_1;Argyrolobium zanonii (Turra) P. W. Ball;;+;83722
T1853_1;Euphorbia spinosa L.;;+;97673
T1853_1;Euphorbia dendroides L.;;+;97492
T1853_1;Myrtus communis L.;;4;109186
T1853_1;Brachypodium retusum (Pers.) Beauv.;;2;86297
T1853_1;Rosmarinus officinalis L.;;2;118865
T1853_1;Arisarum vulgare Targ. -tozz.;;1;83755
T1853_1;Fumana levipes;;+;99022
T1853_1;Lonicera implexa Aiton;;+;106570
T1853_1;Phillyrea latifolia L.;;+;113148
T1853_1;Pinus halepensis Miller;;+;113665
T1853_1;Smilax aspera L.;;1;123987
T1853_1;Pistacia lentiscus L.;;3;113744
T1857_1;Oryzopsis coerulescens;;2;111794
T1857_1;Stachys rectus;;+;124805
T1857_1;Phagnalon saxatile (L.) Cass.;;2;112935
T1857_1;Andropogon distachyos L.;;2;82439
T1857_1;Arisarum vulgare Targ. -tozz.;;+;83755
T1857_1;Umbilicus pendulinus;;+;128214
T1857_1;Asplenium ruta-muraria L.;;+;84521
T1857_1;Geranium robertianum L.;;+;100142
T1857_1;Crucianella angustifolia L.;;+;93295
T1857_1;Melica pyramidalis;;1;107873
T1857_1;Senecio cineraria;;1;122574
T1857_1;Lotus ornithopodioides L.;;+;106694
T1857_1;Misopates orontium (L.) Rafin.;;+;108645
T1857_1;Hyparrhenia hirta (L.) Stapf;;+;103216
T1857_2;Stachys arvensis (L.) L.;;1;124744
T1857_2;Andropogon distachyos L.;;1;82439
T1857_2;Silene gallica L.;;+;123485
T1857_2;Umbilicus pendulinus;;1;128214
T1857_2;Brachypodium retusum (Pers.) Beauv.;;+;86297
T1857_2;Lavandula stoechas L.;;+;105321
T1857_2;Phagnalon saxatile (L.) Cass.;;2;112935
T1857_2;Oryzopsis coerulescens;;+;111794
T1857_2;Crucianella angustifolia L.;;+;93295
T1857_2;Cistus albidus L.;;2;91630
T1857_2;Melica pyramidalis;;+;107873
T1857_2;Centranthus calcitrapae (L.) Dufresne;;1;89881
T1857_2;Misopates orontium (L.) Rafin.;;+;108645
T1857_2;Stachys rectus;;+;124805
T1857_2;Hyparrhenia hirta (L.) Stapf;;+;103216
T1857_2;Ruta chalepensis L.;;1;119710
T1857_2;Nardurus halleri;;+;109348
T1857_2;Geranium robertianum L.;;+;100142
T1857_3;Umbilicus pendulinus;;2;128214
T1857_3;Phagnalon saxatile (L.) Cass.;;+;112935
T1857_3;Stachys arvensis (L.) L.;;+;124744
T1857_3;Cheilanthes fragrans (L. Fil.) Swartz;;+;90584
T1857_3;Hyparrhenia hirta (L.) Stapf;;1;103216
T1857_3;Oryzopsis coerulescens;;+;111794
T1857_3;Misopates orontium (L.) Rafin.;;+;108645
T1857_3;Bromus madritensis L.;;+;86668
T1857_3;Brachypodium distachyon (L.) Beauv.;;+;86262
T1857_3;Ceterach officinarum Dc.;;1;90292
T1857_3;Silene gallica L.;;+;123485
T1857_3;Ruta chalepensis L.;;+;119710
T1857_3;Andropogon distachyos L.;;1;82439
T1857_3;Nardurus halleri;;2;109348
T1857_3;Sedum nicaeense;;+;122216
T1857_4;Sideritis romana L.;;+;123325
T1857_4;Lavandula stoechas L.;;1;105321
T1857_4;Phagnalon saxatile (L.) Cass.;;2;112935
