NAME_RELEVE;SP_NAME;STRATUM;COVER;CD_NOM
T0001_1;Leontodon autumnalis L.;;+;105480
T0001_1;Cynosurus cristatus L.;;2;93860
T0001_1;Trifolium repens L.;;+;127454
T0001_1;Avenula pubescens (Hudson) Dumort.;;+;85439
T0001_1;Linum catharticum L.;;+;106288
T0001_1;Ranunculus acer;;+;116903
T0001_1;Silene vulgaris (Moench) Garcke;;+;123683
T0001_1;Galium mollugo L.;;+;99473
T0001_1;Hieracium pilosella L.;;+;102352
T0001_1;Dactylis glomerata L.;;+;94207
T0001_1;Anthoxanthum odoratum L.;;+;82922
T0001_1;Anthyllis vulneraria L.;;+;82999
T0001_1;Ranunculus bulbosus L.;;+;116952
T0001_1;Hypericum perforatum L.;;+;103316
T0001_1;Daucus carota L.;;+;94503
T0001_1;Euphorbia cyparissias L.;;+;97490
T0001_1;Trifolium pratense L.;;2;127439
T0001_1;Achillea millefolium L.;;+;79908
T0001_1;Festuca duriuscula;;4;98205
T0001_1;Festuca pratensis Hudson;;1;98460
T0001_1;Scabiosa columbaria L.;;+;121334
T0001_1;Thymus serpyllum L.;;1;126573
T0001_1;Koeleria cristata;;+;193739
T0001_1;Knautia silvatica;;+;104556
T0001_1;Agrostis capillaris L.;;+;80591
T0001_1;Leontodon hispidus L.;;+;105502
T0001_1;Primula officinalis;;+;115900
T0001_1;Briza media L.;;2;86490
T0001_1;Taraxacum officinale Weber;;+;125677
T0001_1;Plantago lanceolata L.;;+;113893
T0001_1;Pimpinella saxifraga L.;;+;113596
T0001_1;Alchemilla xanthochlora Rothm.;;+;81195
T0001_1;Bromus erectus Hudson;;3;86601
T0001_1;Poa pratensis L.;;+;114332
T0001_1;Polygala amara L.;;+;114525
T0001_1;Ononis spinosa L.;;3;110236
T0001_1;Crataegus monogyna Jacq.;;+;92876
T0001_1;Carex flacca Schreber;;2;88510
T0001_1;Corylus avellana L.;;+;92606
T0001_1;Plantago media L.;;3;113906
T0001_1;Trisetum flavescens (L.) Beauv.;;+;127660
T0001_1;Prunella vulgaris L.;;+;116012
T0001_1;Helianthemum ovatum;;+;100964
T0001_1;Lotus corniculatus L.;;+;106653
T0001_1;Gentiana lutea L.;;+;99903
T0001_1;Lolium perenne L.;;1;106499
T0001_1;Holcus lanatus L.;;+;102900
T0001_1;Leucanthemum vulgare Lam.;;1;105817
T0001_1;Medicago lupulina L.;;1;107649
T0001_10;Anthoxanthum odoratum L.;;+;82922
T0001_10;Leucanthemum vulgare Lam.;;+;105817
T0001_10;Silene vulgaris (Moench) Garcke;;+;123683
T0001_10;Holcus lanatus L.;;2;102900
T0001_10;Agrostis capillaris L.;;1;80591
T0001_10;Plantago lanceolata L.;;+;113893
T0001_10;Phleum pratense L.;;+;113221
T0001_10;Medicago lupulina L.;;+;107649
T0001_10;Luzula campestris (L.) Dc.;;+;106818
T0001_10;Primula officinalis;;+;115900
T0001_10;Ranunculus acer;;+;116903
T0001_10;Lolium perenne L.;;+;106499
T0001_10;Rumex acetosa L.;;+;119418
T0001_10;Linum catharticum L.;;+;106288
T0001_10;Prunella vulgaris L.;;+;116012
T0001_10;Lathyrus pratensis L.;;+;105247
T0001_10;Rhinanthus alectorolophus (Scop.) Pollich;;+;117587
T0001_10;Rhinanthus minor L.;;1;117616
T0001_10;Knautia silvatica;;+;104556
T0001_10;Alchemilla xanthochlora Rothm.;;+;81195
T0001_10;Trisetum flavescens (L.) Beauv.;;+;127660
T0001_10;Centaurea jacea L.;;+;89619
T0001_10;Centaurea scabiosa L.;;+;89697
T0001_10;Festuca pratensis Hudson;;2;98460
T0001_10;Avenula pubescens (Hudson) Dumort.;;3;85439
T0001_10;Trifolium pratense L.;;+;127439
T0001_10;Cynosurus cristatus L.;;1;93860
T0001_10;Carex flacca Schreber;;+;88510
T0001_10;Festuca rubra L.;;+;98512
T0001_10;Dactylis glomerata L.;;+;94207
T0001_10;Achillea millefolium L.;;+;79908
T0001_10;Campanula rotundifolia L.;;+;87720
T0001_10;Galium mollugo L.;;+;99473
T0001_10;Bromus erectus Hudson;;+;86601
T0001_10;Stachys officinalis (L.) Trevisan;;+;124797
T0001_10;Briza media L.;;2;86490
T0001_10;Heracleum sphondylium L.;;+;101300
T0001_10;Vicia cracca L.;;1;129147
T0001_11;Centaurea jacea L.;;+;89619
T0001_11;Leucanthemum vulgare Lam.;;+;105817
T0001_11;Prunella vulgaris L.;;2;116012
T0001_11;Cynosurus cristatus L.;;3;93860
T0001_11;Trifolium pratense L.;;1;127439
T0001_11;Hieracium pilosella L.;;+;102352
T0001_11;Trifolium repens L.;;1;127454
T0001_11;Alchemilla xanthochlora Rothm.;;+;81195
T0001_11;Carex flacca Schreber;;+;88510
T0001_11;Luzula campestris (L.) Dc.;;+;106818
T0001_11;Potentilla tormentilla;;+;115680
T0001_11;Ononis spinosa L.;;+;110236
T0001_11;Briza media L.;;+;86490
T0001_11;Plantago media L.;;3;113906
T0001_11;Agrostis capillaris L.;;2;80591
T0001_11;Lotus corniculatus L.;;1;106653
T0001_11;Anthoxanthum odoratum L.;;2;82922
T0001_11;Leontodon hispidus L.;;+;105502
T0001_11;Ranunculus acer;;+;116903
T0001_11;Thymus serpyllum L.;;+;126573
T0001_11;Taraxacum officinale Weber;;3;125677
T0001_11;Danthonia decumbens (L.) Dc.;;1;94402
T0001_11;Hieracium auricula;;1;101672
T0001_11;Leontodon autumnalis L.;;+;105480
T0001_11;Festuca tenuifolia Sibth.;;+;98574
T0001_11;Achillea millefolium L.;;+;79908
T0001_11;Festuca pratensis Hudson;;+;98460
T0001_12;Medicago lupulina L.;;+;107649
T0001_12;Festuca tenuifolia Sibth.;;1;98574
T0001_12;Bromus erectus Hudson;;+;86601
T0001_12;Ononis spinosa L.;;+;110236
T0001_12;Briza media L.;;2;86490
T0001_12;Campanula rotundifolia L.;;+;87720
T0001_12;Anthoxanthum odoratum L.;;2;82922
T0001_12;Pimpinella saxifraga L.;;+;113596
T0001_12;Brachypodium pinnatum (L.) Beauv.;;+;86289
T0001_12;Agrostis capillaris L.;;2;80591
T0001_12;Hieracium auricula;;+;101672
T0001_12;Plantago lanceolata L.;;1;113893
T0001_12;Hieracium pilosella L.;;+;102352
T0001_12;Carlina vulgaris L.;;1;89180
T0001_12;Leontodon hispidus L.;;+;105502
T0001_12;Cynosurus cristatus L.;;3;93860
T0001_12;Asperula cynanchica L.;;+;84306
T0001_12;Leontodon autumnalis L.;;1;105480
T0001_12;Cerastium fontanum Baumg.;;+;90008
T0001_12;Centaurea jacea L.;;2;89619
T0001_12;Danthonia decumbens (L.) Dc.;;1;94402
T0001_12;Luzula campestris (L.) Dc.;;+;106818
T0001_12;Euphorbia cyparissias L.;;+;97490
T0001_12;Hypochoeris radicata L.;;+;446973
T0001_12;Carex flacca Schreber;;2;88510
T0001_12;Koeleria cristata;;+;193739
T0001_12;Lotus corniculatus L.;;2;106653
T0001_12;Alchemilla xanthochlora Rothm.;;+;81195
T0001_12;Festuca pratensis Hudson;;1;98460
T0001_12;Leucanthemum vulgare Lam.;;1;105817
T0001_12;Juniperus communis L.;;1;104397
T0001_12;Lathyrus pratensis L.;;+;105247
T0001_12;Taraxacum officinale Weber;;+;125677
T0001_12;Prunella vulgaris L.;;2;116012
T0001_12;Ranunculus acer;;+;116903
T0001_12;Potentilla tormentilla;;+;115680
T0001_12;Achillea millefolium L.;;+;79908
T0001_12;Thymus serpyllum L.;;+;126573
T0001_12;Trifolium pratense L.;;+;127439
T0001_12;Trifolium repens L.;;2;127454
T0001_12;Plantago media L.;;2;113906
T0001_13;Vicia cracca L.;;+;129147
T0001_13;Holcus lanatus L.;;2;102900
T0001_13;Hypochoeris radicata L.;;+;446973
T0001_13;Leontodon autumnalis L.;;2;105480
T0001_13;Ranunculus acer;;+;116903
T0001_13;Briza media L.;;1;86490
T0001_13;Leontodon hispidus L.;;2;105502
T0001_13;Leucanthemum vulgare Lam.;;1;105817
T0001_13;Succisa praemorsa;;2;125294
T0001_13;Linum catharticum L.;;+;106288
T0001_13;Lolium perenne L.;;+;106499
