NAME_RELEVE;SP_NAME;STRATUM;COVER;CD_NOM
T0051_1;Crepis vesicaria L.;;+;93157
T0051_1;Festuca rubra L.;;1;98512
T0051_1;Festuca pratensis Hudson;;1;98460
T0051_1;Daucus carota L.;;+;94503
T0051_1;Leontodon saxatilis;;+;105521
T0051_1;Leucanthemum vulgare Lam.;;+;105817
T0051_1;Gaudinia fragilis (L.) Beauv.;;1;99683
T0051_1;Cynosurus cristatus L.;;+;93860
T0051_1;Dactylis glomerata L.;;1;94207
T0051_1;Bromus racemosus L.;;+;86732
T0051_1;Lolium multiflorum Lam.;;1;106497
T0051_1;Anthoxanthum odoratum L.;;2;82922
T0051_1;Briza media L.;;+;86490
T0051_1;Bellis perennis L.;;2;85740
T0051_1;Lotus corniculatus L.;;1;106653
T0051_1;Arrhenatherum elatius (L.) Beauv. ex J. & C. Presl;;+;83912
T0051_1;Hypochoeris radicata L.;;1;446973
T0051_1;Holcus lanatus L.;;1;102900
T0051_1;Prunella vulgaris L.;;+;116012
T0051_1;Trifolium pratense L.;;2;127439
T0051_1;Vicia sativa L.;;+;129298
T0051_1;Pulicaria dysenterica (L.) Bernh.;;+;116392
T0051_1;Ranunculus acer;;1;116903
T0051_1;Trifolium repens L.;;1;127454
T0051_1;Ranunculus bulbosus L.;;+;116952
T0051_1;Rhinanthus angustifolius C. C. Gmelin;;+;117590
T0051_1;Tragopogon pratensis L.;;+;127029
T0051_1;Plantago media L.;;+;113906
T0051_1;Medicago lupulina L.;;1;107649
T0051_1;Poa pratensis L.;;+;114332
T0051_10;Bromus racemosus L.;;+;86732
T0051_10;Cerastium fontanum Baumg.;;+;90008
T0051_10;Daucus carota L.;;1;94503
T0051_10;Lolium multiflorum Lam.;;+;106497
T0051_10;Briza media L.;;+;86490
T0051_10;Euphrasia stricta D. Wolff ex J. F. Lehm.;;+;97811
T0051_10;Leucanthemum vulgare Lam.;;+;105817
T0051_10;Leontodon saxatilis;;+;105521
T0051_10;Festuca pratensis Hudson;;1;98460
T0051_10;Centaurea nigra L.;;2;89653
T0051_10;Brachypodium pinnatum (L.) Beauv.;;1;86289
T0051_10;Anthoxanthum odoratum L.;;1;82922
T0051_10;Dactylis glomerata L.;;1;94207
T0051_10;Crepis capillaris (L.) Wallr.;;+;93023
T0051_10;Lathyrus pratensis L.;;+;105247
T0051_10;Festuca rubra L.;;1;98512
T0051_10;Holcus lanatus L.;;2;102900
T0051_10;Galium pumilum Murray;;+;99511
T0051_10;Gaudinia fragilis (L.) Beauv.;;1;99683
T0051_10;Stachys officinalis (L.) Trevisan;;+;124797
T0051_10;Pteridium aquilinum (L.) Kuhn;;+;116265
T0051_10;Trisetum flavescens (L.) Beauv.;;1;127660
T0051_10;Rumex acetosa L.;;+;119418
T0051_10;Malva moschata L.;;+;107282
T0051_10;Veronica chamaedrys L.;;+;128832
T0051_10;Plantago lanceolata L.;;1;113893
T0051_10;Tragopogon pratensis L.;;+;127029
T0051_10;Plantago media L.;;+;113906
T0051_10;Stellaria holostea L.;;+;125006
T0051_10;Prunella grandiflora (L.) Scholler;;+;115993
T0051_10;Trifolium repens L.;;1;127454
T0051_10;Trifolium campestre Schreber;;2;127259
T0051_10;Trifolium filiforme;;1;198631
T0051_10;Prunella vulgaris L.;;+;116012
T0051_11;Bromus racemosus L.;;+;86732
T0051_11;Leucanthemum vulgare Lam.;;1;105817
T0051_11;Dactylis glomerata L.;;+;94207
T0051_11;Holcus lanatus L.;;2;102900
T0051_11;Leontodon saxatilis;;+;105521
T0051_11;Cuscuta epithymum (L.) L.;;+;93621
T0051_11;Daucus carota L.;;2;94503
T0051_11;Cynosurus cristatus L.;;2;93860
T0051_11;Equisetum arvense L.;;+;96508
T0051_11;Hypochoeris radicata L.;;1;446973
T0051_11;Centaurea nigra L.;;+;89653
T0051_11;Gaudinia fragilis (L.) Beauv.;;2;99683
T0051_11;Crepis capillaris (L.) Wallr.;;+;93023
T0051_11;Lathyrus pratensis L.;;+;105247
T0051_11;Festuca rubra L.;;1;98512
T0051_11;Lotus corniculatus L.;;1;106653
T0051_11;Cerastium fontanum Baumg.;;+;90008
T0051_11;Arrhenatherum elatius (L.) Beauv. ex J. & C. Presl;;+;83912
T0051_11;Anthoxanthum odoratum L.;;2;82922
T0051_11;Trifolium repens L.;;2;127454
T0051_11;Trifolium campestre Schreber;;1;127259
T0051_11;Ranunculus acer;;+;116903
T0051_11;Trifolium filiforme;;+;198631
T0051_11;Trifolium pratense L.;;2;127439
T0051_11;Trisetum flavescens (L.) Beauv.;;+;127660
T0051_11;Rumex acetosa L.;;+;119418
T0051_11;Prunella vulgaris L.;;+;116012
T0051_11;Malva moschata L.;;1;107282
T0051_11;Plantago media L.;;+;113906
T0051_11;Poa pratensis L.;;1;114332
T0051_11;Plantago lanceolata L.;;2;113893
T0051_12;Centaurea nigra L.;;1;89653
T0051_12;Carex divulsa Stokes;;+;88483
T0051_12;Bromus racemosus L.;;1;86732
T0051_12;Briza media L.;;1;86490
T0051_12;Anthoxanthum odoratum L.;;2;82922
T0051_12;Brachypodium pinnatum (L.) Beauv.;;+;86289
