NAME_RELEVE;SP_NAME;STRATUM;COVER;CD_NOM
T1320_1;Arenaria aggregata (L.) Loisel.;;2;83535
T1320_1;Anthyllis vulneraria L.;;+;82999
T1320_1;Helianthemum canum (L.) Baumg.;;2;100905
T1320_1;Asperula cynanchica L.;;+;84306
T1320_1;Biscutella laevigata L.;;+;86045
T1320_1;Fumana coridifolia;;+;99014
T1320_1;Helichrysum staechas;;+;101101
T1320_1;Helianthemum hirtum (L.) Miller;;+;100930
T1320_1;Alyssum alpestre L.;;+;81876
T1320_1;Erica multiflora L.;;+;96683
T1320_1;Festuca duriuscula;;+;98205
T1320_1;Pimpinella tragium Vill.;;+;113599
T1320_1;Statice littoralis;;1;189464
T1320_1;Teucrium polium L.;;+;126019
T1320_10;Koeleria vallesiana (Honckeny) Gaudin;;+;104680
T1320_10;Centaurea maculosa Lam.;;+;89637
T1320_10;Linaria supina (L.) Chaz.;;+;106226
T1320_10;Eryngium campestre L.;;+;97141
T1320_10;Micropus erectus;;2;108515
T1320_10;Medicago minima (L.) Bartal.;;+;107658
T1320_10;Ononis striata Gouan;;+;110237
T1320_10;Acinos arvensis (Lam.) Dandy;;+;79991
T1320_10;Helianthemum apenninum (L.) Miller;;2;100896
T1320_10;Ononis pusilla L.;;+;110221
T1320_10;Helichrysum staechas;;1;101101
T1320_10;Sedum album L.;;+;122106
T1320_10;Potentilla verna;;+;115694
T1320_10;Silene otites (L.) Wibel;;+;123577
T1320_10;Sanguisorba minor Scop.;;+;120753
T1320_10;Silene conica L.;;+;123448
T1320_10;Trifolium scabrum L.;;1;127470
T1320_10;Sedum anopetalum;;2;122118
T1320_10;Xeranthemum inapertum (L.) Miller;;+;130520
T1320_10;Phleum arenarium L.;;+;113178
T1320_10;Poa bulbosa L.;;1;114136
T1320_10;Statice littoralis;;2;189464
T1320_10;Sedum nicaeense;;2;122216
T1320_11;Asperula cynanchica L.;;+;84306
T1320_11;Fumana procumbens (Dunal) Gren. & Godron;;+;99028
T1320_11;Dianthus caryophyllus L.;;+;94717
T1320_11;Carex liparocarpos Gaudin;;+;88637
T1320_11;Anthyllis vulneraria L.;;+;82999
T1320_11;Arenaria aggregata (L.) Loisel.;;2;83535
T1320_11;Crepis albida Vill.;;+;92996
T1320_11;Helichrysum staechas;;1;101101
T1320_11;Festuca duriuscula;;+;98205
T1320_11;Hutchinsia petraea;;+;103046
T1320_11;Helianthemum canum (L.) Baumg.;;1;100905
T1320_11;Cerastium pumilum Curtis;;+;90076
T1320_11;Allium sphaerocephalon L.;;+;81520
T1320_11;Erophila verna (L.) Chevall.;;+;97008
T1320_11;Galium asperum;;+;99380
T1320_11;Clypeola jonthlaspi L.;;+;91930
T1320_11;Helianthemum apenninum (L.) Miller;;1;100896
T1320_11;Sedum album L.;;+;122106
